,Sample,moisture_content,pH,N_prop,C_prop,NH4N_prop,Si04Si_prop,N02N_prop,PO4P_prop,NO3N_prop
0,6.0,3.0,10.0,2.0,5.0,8.0,9.0,4.0,1.0,7.0
1,5.0,2.0,10.0,3.0,7.0,9.0,8.0,4.0,1.0,6.0
2,8.0,3.0,10.0,2.0,4.0,7.0,9.0,5.0,1.0,6.0
3,8.0,3.0,9.0,2.0,5.0,7.0,10.0,4.0,1.0,6.0
4,8.0,3.0,9.0,2.0,4.0,7.0,10.0,5.0,1.0,6.0
5,8.0,2.0,9.0,3.0,4.0,7.0,10.0,5.0,1.0,6.0
6,6.0,4.0,7.0,5.0,8.0,10.0,9.0,2.0,1.0,3.0
7,8.0,5.0,7.0,4.0,6.0,10.0,9.0,2.0,1.0,3.0
8,8.0,4.0,7.0,3.0,6.0,10.0,9.0,1.0,5.0,2.0
9,10.0,3.0,9.0,2.0,6.0,7.0,8.0,4.0,1.0,5.0
10,10.0,3.0,9.0,2.0,4.0,7.0,8.0,5.0,1.0,6.0
11,10.0,3.0,9.0,2.0,6.0,7.0,8.0,4.0,1.0,5.0
12,10.0,4.0,9.0,1.5,6.0,7.0,8.0,3.0,1.5,5.0
13,10.0,4.0,9.0,1.5,6.0,7.0,8.0,3.0,1.5,5.0
14,10.0,4.0,9.0,1.5,5.0,7.0,8.0,3.0,1.5,6.0
15,10.0,3.0,9.0,2.0,7.0,8.0,6.0,4.0,1.0,5.0
16,10.0,3.0,9.0,2.0,6.0,8.0,7.0,4.0,1.0,5.0
17,10.0,5.0,9.0,1.5,6.0,7.0,8.0,4.0,1.5,3.0
18,10.0,5.0,9.0,4.0,7.0,6.0,8.0,2.0,1.0,3.0
19,10.0,3.0,9.0,2.0,6.0,7.0,8.0,4.0,1.0,5.0
20,10.0,4.0,9.0,3.0,7.0,5.0,8.0,2.0,1.0,6.0
21,10.0,5.0,9.0,1.0,6.0,7.0,8.0,2.5,2.5,4.0
22,10.0,5.0,9.0,1.0,6.0,7.0,8.0,2.5,4.0,2.5
23,10.0,5.0,9.0,1.5,6.0,7.0,8.0,3.5,1.5,3.5
